keys,en
action.boost,"Boost:"
action.brake,"Brake:"
action.steer_left,"Steer Left:"
action.steer_right,"Steer Right:"
button.back,"Back"
button.continue,"Continue"
button.controls,"Controls"
button.credits,"Credits"
button.options,"Options"
button.quit,"Quit"
button.retry,"Retry"
button.start,"Start"
button.tutorial,"Tutorial"
control.boost,"Space/Z"
control.brake,"Shift/X"
control.steer_left,"A/Left Arrow"
control.steer_right,"D/Right Arrow"
credits.copyright,"Copyright © 2023 Chris Roberts (Krobbizoid)"
credits.font,"Font: m6x11 by Daniel Linssen (managore.itch.io)"
credits.license,"Released under the Krobbizoid Game License:\nhttps://krobbi.github.io/license/2023/kgl.txt"
credits.version,"v1.1.0"
heading.controls,"Controls"
heading.credits,"Credits"
heading.game_over,"Game Over"
heading.options,"Options"
heading.tutorial,"Tutorial"
slider.music,"Music:"
slider.sound,"Sound:"
tutorial.boosting.control,"Space / Z:\nBoost"
tutorial.boosting.use_energy,"Or you can use energy for\na boost."
tutorial.dodging.avoid_frogs,"Beware of crossing frogs.\nThey will damage your car."
tutorial.dodging.control.brake,"Shift / X:\nBrake"
tutorial.dodging.control.steer,"WASD / Arrow Keys:\nSteer"
tutorial.dodging.drift,"Braking will allow you to drift\nin the opposite direction."
tutorial.end,"Good luck."
tutorial.signs.gain_energy,"As you pass signs you will\ngain energy."
tutorial.signs.protect_car,"This will protect your\ncar from an additional hit."
tutorial.story.goal,"Maybe you can escape if\nyou take to the road."
tutorial.story.premise,"The plague of robotic frogs\nhas descended upon the city."
